datetime,open,high,low,close,volume,returns,sentiment_score_mean,sentiment_score_std,sentiment_score_min,sentiment_score_max,tweet_volume,engagement_score_sum,engagement_score_mean,engagement_score_max,token_count_mean,sentiment_mean_6h,sentiment_std_6h,tweet_volume_6h,engagement_6h,sentiment_momentum_6h,sentiment_mean_12h,sentiment_std_12h,tweet_volume_12h,engagement_12h,sentiment_momentum_12h,sentiment_mean_24h,sentiment_std_24h,tweet_volume_24h,engagement_24h,sentiment_momentum_24h
2024-01-01 00:00:00,45062.74,46278.53,43026.28,44206.57,36734.6199,,-0.2,0.447213595499958,-1.0,0.0,5,17567.0,3513.4,17341.0,5.8,-0.2,0.447213595499958,5.0,17567.0,0.0,-0.2,0.447213595499958,5.0,17567.0,0.0,-0.2,0.447213595499958,5.0,17567.0,0.0
2024-01-01 01:00:00,44379.94,45507.36,42749.28,43646.67,21505.3768,-1.266553817679139,0.6666666666666666,0.5773502691896258,0.0,1.0,3,1903.0,634.3333333333334,1499.0,6.0,0.2333333333333333,0.5122819323447919,8.0,19470.0,0.0,0.2333333333333333,0.5122819323447919,8.0,19470.0,0.0,0.2333333333333333,0.5122819323447919,8.0,19470.0,0.0
2024-01-01 02:00:00,43440.02,44340.05,42060.62,42916.72,21630.1748,-1.6724070816857228,0.0,0.0,0.0,0.0,3,490.0,163.33333333333334,289.0,5.333333333333333,0.15555555555555553,0.3415212882298613,11.0,19960.0,0.0,0.15555555555555553,0.3415212882298613,11.0,19960.0,0.0,0.15555555555555553,0.3415212882298613,11.0,19960.0,0.0
2024-01-01 03:00:00,43049.52,44617.1,40705.34,42199.72,20306.2639,-1.6706775354686898,0.16666666666666666,0.752772652709081,-1.0,1.0,6,1014.0,169.0,378.0,5.833333333333333,0.15833333333333333,0.4443341293496662,17.0,20974.0,0.0,0.15833333333333333,0.4443341293496662,17.0,20974.0,0.0,0.15833333333333333,0.4443341293496662,17.0,20974.0,0.0
2024-01-01 04:00:00,42392.66,42745.73,41761.63,42115.57,34101.6154,-0.1994089060306625,0.16666666666666666,0.752772652709081,-1.0,1.0,0,0.0,169.0,378.0,5.833333333333333,0.15999999999999998,0.5060218340215492,17.0,20974.0,0.0,0.15999999999999998,0.5060218340215492,17.0,20974.0,0.0,0.15999999999999998,0.5060218340215492,17.0,20974.0,0.0
2024-01-01 05:00:00,42244.92,43265.49,41476.87,42633.12,24053.7955,1.2288804354304128,0.0,0.0,0.0,0.0,3,1182.0,394.0,772.0,5.666666666666667,0.13333333333333333,0.4216848616846243,20.0,22156.0,0.0,0.13333333333333333,0.4216848616846243,20.0,22156.0,0.0,0.13333333333333333,0.4216848616846243,20.0,22156.0,0.0
2024-01-01 06:00:00,42773.56,43359.46,42436.56,42976.34,22027.5687,0.8050548493752974,-0.25,0.5,-1.0,0.0,4,28047.0,7011.75,27514.0,5.0,0.125,0.4304825957679646,19.0,32636.0,-0.04999999999999999,0.07857142857142856,0.43287273858682085,24.0,50203.0,0.0,0.07857142857142856,0.43287273858682085,24.0,50203.0,0.0
2024-01-01 07:00:00,42859.4,43315.73,41997.81,42498.33,15482.5599,-1.1122631661979463,0.0,0.5,0.0,0.0,1,146.0,146.0,146.0,8.0,0.013888888888888876,0.41759088423636026,17.0,30879.0,-0.6666666666666666,0.06874999999999999,0.44126364626346826,25.0,50349.0,0.0,0.06874999999999999,0.44126364626346826,25.0,50349.0,0.0
2024-01-01 08:00:00,42555.99,42900.24,42011.24,42325.91,25048.0701,-0.4057100596658647,0.3333333333333333,0.5773502691896258,0.0,1.0,3,10895.0,3631.6666666666665,10300.0,5.666666666666667,0.06944444444444443,0.5138159291012979,17.0,41284.0,0.3333333333333333,0.09814814814814815,0.4563843821441524,28.0,61244.0,0.0,0.09814814814814815,0.4563843821441524,28.0,61244.0,0.0
2024-01-01 09:00:00,42388.57,42820.98,42058.59,42573.6,16963.0986,0.5851971050356619,0.25,0.5,0.0,1.0,4,187.0,46.75,94.0,6.0,0.08333333333333331,0.4716871536497845,15.0,40457.0,0.08333333333333334,0.11333333333333333,0.4607459439297371,32.0,61431.0,0.0,0.11333333333333333,0.4607459439297371,32.0,61431.0,0.0
