datetime,open,high,low,close,volume
2024-01-01 00:00:00,45062.74,46278.53,43026.28,44206.57,36734.6199
2024-01-01 01:00:00,44379.94,45507.36,42749.28,43646.67,21505.3768
2024-01-01 02:00:00,43440.02,44340.05,42060.62,42916.72,21630.1748
2024-01-01 03:00:00,43049.52,44617.1,40705.34,42199.72,20306.2639
2024-01-01 04:00:00,42392.66,42745.73,41761.63,42115.57,34101.6154
2024-01-01 05:00:00,42244.92,43265.49,41476.87,42633.12,24053.7955
2024-01-01 06:00:00,42773.56,43359.46,42436.56,42976.34,22027.5687
2024-01-01 07:00:00,42859.4,43315.73,41997.81,42498.33,15482.5599
2024-01-01 08:00:00,42555.99,42900.24,42011.24,42325.91,25048.0701
2024-01-01 09:00:00,42388.57,42820.98,42058.59,42573.6,16963.0986
2024-01-01 10:00:00,42782.01,43415.83,42363.3,43021.59,36601.4386
2024-01-01 11:00:00,42905.02,44071.28,40966.4,42102.01,26728.8582
2024-01-01 12:00:00,42260.47,42800.66,41472.12,41947.2,33235.1295
2024-01-01 13:00:00,41848.57,42548.01,40826.34,41424.44,33774.4334
2024-01-01 14:00:00,41382.77,42311.07,40171.24,40918.16,28500.2809
2024-01-01 15:00:00,40758.44,41347.21,40438.93,40966.22,28912.8469
2024-01-01 16:00:00,41169.46,41312.19,41078.91,41217.41,28662.5445
2024-01-01 17:00:00,41292.31,41439.68,41187.72,41353.37,30029.9094
2024-01-01 18:00:00,41334.23,43510.69,40275.74,42084.56,46967.7752
2024-01-01 19:00:00,42258.21,43785.6,41186.52,42884.51,49196.2636
2024-01-01 20:00:00,42997.09,43188.27,42887.08,43064.81,25343.1867
2024-01-01 21:00:00,42857.87,44993.33,41485.72,43593.48,37888.4654
2024-01-01 22:00:00,43758.27,45532.95,42515.34,44540.58,36315.0502
2024-01-01 23:00:00,44658.98,45707.98,42906.59,43995.16,26495.1629
2024-01-02 00:00:00,43961.34,44788.14,42550.47,43454.55,18157.894
2024-01-02 01:00:00,43669.71,44337.44,43247.15,43931.52,14999.5626
2024-01-02 02:00:00,43860.39,44229.76,43647.18,44015.32,17264.2416
2024-01-02 03:00:00,43896.01,45951.64,43001.44,44607.87,23756.5692
2024-01-02 04:00:00,44480.4,45755.04,42742.31,43826.2,30639.1932
2024-01-02 05:00:00,43960.96,44656.45,42575.57,43416.57,24624.374
2024-01-02 06:00:00,43516.03,44417.5,43130.15,43817.79,21437.7873
2024-01-02 07:00:00,43976.27,44574.1,42844.91,43534.14,21648.1909
2024-01-02 08:00:00,43425.22,45303.33,42036.34,44160.44,22055.8837
2024-01-02 09:00:00,44380.93,46155.72,43223.01,44977.45,28406.275
2024-01-02 10:00:00,44970.99,45754.1,43814.01,44456.07,30012.952
2024-01-02 11:00:00,44351.69,45643.85,43576.39,44855.65,45544.5822
2024-01-02 12:00:00,44880.67,45791.82,44317.08,45272.76,36988.1386
2024-01-02 13:00:00,45291.86,46300.76,44542.81,45741.11,31022.6763
2024-01-02 14:00:00,45584.42,47486.64,44451.31,46424.59,58543.9539
2024-01-02 15:00:00,46301.66,47647.86,44614.2,45597.66,56062.3029
2024-01-02 16:00:00,45560.83,45960.07,45263.82,45713.32,36648.9802
2024-01-02 17:00:00,45593.86,45924.07,45130.12,45403.8,41669.0136
2024-01-02 18:00:00,45209.72,45360.5,44983.65,45134.28,26894.0205
2024-01-02 19:00:00,45028.3,47295.0,43542.96,45808.66,41478.4361
2024-01-02 20:00:00,45961.54,46967.9,45216.97,46335.74,45667.2492
2024-01-02 21:00:00,46482.67,47128.26,45381.85,46109.66,29760.2616
2024-01-02 22:00:00,45928.47,46164.88,45763.82,46026.24,48017.3379
2024-01-02 23:00:00,46088.02,46780.19,44815.67,45652.92,26067.2634
2024-01-03 00:00:00,45618.03,46108.18,44470.16,45210.53,25112.4983
2024-01-03 01:00:00,45319.59,45557.75,45206.44,45413.28,19230.6837
2024-01-03 02:00:00,45596.72,45835.17,45458.19,45679.87,13968.0544
2024-01-03 03:00:00,45592.28,47656.46,44218.13,46319.9,30785.9643
2024-01-03 04:00:00,46203.88,47542.95,44069.63,45469.78,27078.9976
2024-01-03 05:00:00,45312.71,47565.8,43769.21,46091.87,41730.5285
2024-01-03 06:00:00,45872.84,46943.16,45028.71,46306.91,38469.088
2024-01-03 07:00:00,46450.81,47243.67,45460.12,46017.53,40055.6724
2024-01-03 08:00:00,45889.8,47382.27,45050.57,46470.92,28337.0848
2024-01-03 09:00:00,46249.56,47079.89,44608.05,45681.86,32367.3835
2024-01-03 10:00:00,45746.49,46110.87,45263.88,45562.92,26624.9174
2024-01-03 11:00:00,45777.25,46936.75,44357.39,45188.68,17772.7002
2024-01-03 12:00:00,45291.96,45860.73,44411.22,44954.4,24110.4308
2024-01-03 13:00:00,44844.14,45668.57,44117.41,45218.65,29588.428
2024-01-03 14:00:00,45328.06,46098.81,44939.49,45637.43,50311.3763
2024-01-03 15:00:00,45552.51,47312.69,44639.21,46186.62,41130.562
2024-01-03 16:00:00,46141.54,46632.53,45184.95,45764.39,67240.8795
2024-01-03 17:00:00,45948.73,46466.93,45600.89,46161.04,25804.875
2024-01-03 18:00:00,46128.68,46530.66,45896.68,46276.26,39538.2215
2024-01-03 19:00:00,46263.85,48369.93,45272.18,47006.26,34056.1917
2024-01-03 20:00:00,47068.75,47644.27,46199.63,46758.45,48904.6761
2024-01-03 21:00:00,46617.77,47855.64,44329.7,45730.96,58508.3564
2024-01-03 22:00:00,45691.83,46250.5,45275.11,45929.0,42462.7182
2024-01-03 23:00:00,46000.68,47639.04,43438.61,45090.86,18726.0895
2024-01-04 00:00:00,44944.71,47097.19,43923.65,45768.04,26580.6829
2024-01-04 01:00:00,45748.11,47256.14,44650.32,46299.68,35430.8183
2024-01-04 02:00:00,46480.91,47062.21,46144.99,46690.36,32174.7752
2024-01-04 03:00:00,46875.82,48054.4,46232.85,47332.68,22300.837
2024-01-04 04:00:00,47458.5,47567.73,47401.09,47498.93,14067.9653
2024-01-04 05:00:00,47390.5,47948.29,46600.79,47048.73,22028.9028
2024-01-04 06:00:00,47145.85,48399.97,44981.17,46324.06,21997.218
2024-01-04 07:00:00,46287.07,48286.32,44970.54,47036.62,40429.8925
2024-01-04 08:00:00,46980.36,48355.88,44377.9,46051.83,45194.2387
2024-01-04 09:00:00,46014.54,47215.84,45247.99,46470.11,17273.2063
2024-01-04 10:00:00,46440.29,47725.42,44040.2,45565.4,21468.9467
2024-01-04 11:00:00,45550.54,46702.45,44043.27,44872.07,25820.3767
2024-01-04 12:00:00,44659.87,45248.57,44259.67,44914.88,15050.8766
2024-01-04 13:00:00,44785.37,45346.5,44008.87,44475.18,35845.6313
2024-01-04 14:00:00,44365.0,45266.85,42412.54,43623.05,68424.8847
2024-01-04 15:00:00,43688.55,45026.03,42802.24,44180.01,60493.7207
2024-01-04 16:00:00,43968.11,44763.48,42295.69,43356.75,48162.4126
2024-01-04 17:00:00,43443.23,44525.84,42661.36,43907.03,51634.0669
2024-01-04 18:00:00,44047.23,45919.36,43047.86,44866.01,46311.1394
2024-01-04 19:00:00,45071.57,45401.73,44650.35,44885.26,54414.6882
2024-01-04 20:00:00,44706.57,46110.02,43887.8,45193.84,38483.6738
2024-01-04 21:00:00,45321.57,45748.9,44630.06,45044.58,44529.3638
2024-01-04 22:00:00,45202.04,46533.41,44054.73,45784.85,59889.8601
2024-01-04 23:00:00,45879.77,46091.34,45527.86,45761.37,23106.724
2024-01-05 00:00:00,45778.84,45825.63,45694.69,45748.62,23082.7161
2024-01-05 01:00:00,45899.92,47345.83,44082.32,45141.04,28457.0916
2024-01-05 02:00:00,45086.41,46685.0,43092.84,44236.45,25132.1841
2024-01-05 03:00:00,44165.82,46020.86,43211.06,44837.71,20564.1296
2024-01-05 04:00:00,44651.91,45670.3,43941.81,45044.98,32068.0137
2024-01-05 05:00:00,45040.85,46241.2,44313.98,45568.6,27482.3023
2024-01-05 06:00:00,45605.76,45685.02,45481.85,45556.98,26168.451
2024-01-05 07:00:00,45649.39,46235.49,44688.76,45231.09,15635.5577
2024-01-05 08:00:00,45247.31,46361.58,44595.72,45721.85,28971.6103
2024-01-05 09:00:00,45939.76,46049.61,45881.8,45985.04,15516.7763
2024-01-05 10:00:00,45837.63,47287.26,43682.36,44946.82,40227.3873
2024-01-05 11:00:00,45035.55,46311.17,43290.07,44362.32,36822.1645
2024-01-05 12:00:00,44348.74,44491.05,44112.07,44243.14,32509.7266
2024-01-05 13:00:00,44385.65,44607.65,43909.05,44209.37,12943.9491
2024-01-05 14:00:00,44237.15,44929.68,43440.62,43890.04,58901.101
2024-01-05 15:00:00,44017.65,44799.14,42781.01,43534.66,51092.8761
2024-01-05 16:00:00,43747.99,44325.88,42832.64,43407.42,63401.8369
2024-01-05 17:00:00,43280.58,44145.23,42117.1,42780.3,31691.5289
